step,value
0,2.2744102478027344
1,2.199552536010742
2,2.052377700805664
3,1.76044499874115
4,1.3543381690979004
5,1.0210541486740112
6,0.8174702525138855
7,0.6936430335044861
8,0.6125296354293823
9,0.5557676553726196
10,0.5139977931976318
11,0.4820510149002075
12,0.4568716883659363
13,0.4365442991256714
14,0.41979795694351196
15,0.4057502746582031
16,0.3937748372554779
17,0.38340938091278076
18,0.3743129372596741
19,0.36623701453208923
20,0.35898372530937195
21,0.3523975908756256
22,0.34636300802230835
23,0.3407943546772003
24,0.3356205224990845
25,0.3307799696922302
26,0.3262283504009247
27,0.321927547454834
28,0.31784701347351074
29,0.3139595091342926
